age,sex,job,housing,saving_accounts,checking_account,credit_amount,duration,purpose,risk,credit_per_month,age_group,credit_to_age_ratio,no_checking,no_saving,saving_level,checking_level,financial_security
64.5,male,2,own,little,little,1169.0,6.0,radio/TV,good,194.80086652224628,60+,18.124031007751938,0,0,1,1,0.4610419548178884
22.0,female,2,own,little,moderate,5951.0,42.0,radio/TV,bad,141.68710268803125,18-30,270.5,0,0,1,2,0.1438641922025608
49.0,male,1,own,little,little,2096.0,12.0,education,good,174.652112323973,41-50,42.775510204081634,0,0,1,1,0.32299741602067183
45.0,male,2,free,little,little,7882.0,42.0,furniture/equipment,good,187.6621985190829,41-50,175.15555555555557,0,0,1,1,0.11258725512272011
53.0,male,2,free,little,little,4870.0,24.0,car,bad,202.90821215782674,51-60,91.88679245283019,0,0,1,1,0.17035775127768313
35.0,male,1,free,little,little,7882.375,36.0,education,good,218.94877920057777,31-40,225.2107142857143,0,0,1,1,0.11258250186464769
53.0,male,2,own,quite rich,little,2835.0,24.0,furniture/equipment,good,118.12007833006957,51-60,53.490566037735846,0,0,3,1,0.7822685788787483
35.0,male,3,rent,little,moderate,6948.0,36.0,car,good,192.99463903780452,31-40,198.5142857142857,0,0,1,2,0.12581781580271767
61.0,male,1,own,rich,little,3059.0,12.0,radio/TV,good,254.89542538121825,60+,50.14754098360656,0,0,4,1,0.9854644000985464
28.0,male,3,own,little,moderate,5234.0,30.0,car,bad,174.4608513049565,18-30,186.92857142857142,0,0,1,2,0.16041065126724416
25.0,female,2,rent,little,moderate,1295.0,12.0,car,bad,107.90767436046997,18-30,51.8,0,0,1,2,0.4357298474945534
24.0,female,2,rent,little,little,4308.0,42.0,business,bad,102.56898645270351,18-30,179.5,0,0,1,1,0.18839487565938207
22.0,female,2,own,little,moderate,1567.0,12.0,radio/TV,good,130.57245229564202,18-30,71.22727272727273,0,0,1,2,0.3895597974289053
60.0,male,1,own,little,little,1199.0,24.0,car,bad,49.95625182284071,51-60,19.983333333333334,0,0,1,1,0.45475216007276037
28.0,female,2,rent,little,little,1403.0,15.0,car,good,93.52709819345377,18-30,50.107142857142854,0,0,1,1,0.4161464835622139
32.0,female,1,own,moderate,little,1282.0,24.0,radio/TV,bad,53.414441064955625,31-40,40.0625,0,0,2,1,0.8764241893076249
53.0,male,2,own,little,little,2424.0,24.0,radio/TV,good,100.99579184200658,51-60,45.735849056603776,0,0,1,1,0.29205607476635514
25.0,male,2,own,little,little,7882.375,30.0,business,good,262.73707543081895,18-30,315.295,0,0,1,1,0.11258250186464769
44.0,female,3,free,little,moderate,7882.375,24.0,car,bad,328.4186075580184,41-50,179.14488636363637,0,0,1,2,0.11258250186464769
31.0,male,2,own,quite rich,little,3430.0,24.0,radio/TV,good,142.9107120536644,31-40,110.64516129032258,0,0,3,1,0.6772009029345373
48.0,male,2,own,little,little,2134.0,9.0,car,good,237.08476835907123,41-50,44.458333333333336,0,0,1,1,0.3190810465858328
44.0,male,2,rent,quite rich,little,2647.0,6.0,radio/TV,good,441.09315114147637,41-50,60.15909090909091,0,0,3,1,0.8225939128050452
48.0,male,1,rent,little,little,2241.0,10.0,car,good,224.07759224077594,41-50,46.6875,0,0,1,1,0.308546744831842
44.0,male,2,own,moderate,moderate,1804.0,12.0,car,good,150.32080659945007,41-50,41.0,0,0,2,2,0.7132667617689015
26.0,male,2,own,little,little,2069.0,10.0,furniture/equipment,good,206.87931206879313,18-30,79.57692307692308,0,0,1,1,0.3258390355164549
36.0,male,1,own,little,little,1374.0,6.0,furniture/equipment,good,228.96183969338443,31-40,38.166666666666664,0,0,1,1,0.42122999157540014
39.0,male,1,own,little,little,426.0,6.0,radio/TV,good,70.98816863856024,31-40,10.923076923076923,0,0,1,1,0.7012622720897616
42.0,female,2,rent,rich,rich,409.0,12.0,radio/TV,good,34.08049329222565,41-50,9.738095238095237,0,0,4,3,2.8388928317955995
34.0,male,2,own,little,moderate,2415.0,7.0,radio/TV,good,344.9507213255249,31-40,71.02941176470588,0,0,1,2,0.29282576866764276
63.0,male,2,own,little,little,6836.0,42.0,business,bad,162.75802957072452,60+,108.5079365079365,0,0,1,1,0.1276161306789178
36.0,male,2,own,rich,moderate,1913.0,18.0,business,good,106.27187378478973,31-40,53.138888888888886,0,0,4,2,1.3731548232063164
27.0,male,2,own,little,little,4020.0,24.0,furniture/equipment,good,167.49302112411982,18-30,148.88888888888889,0,0,1,1,0.19920318725099603
30.0,male,2,own,moderate,moderate,5866.0,18.0,car,good,325.8707849563913,18-30,195.53333333333333,0,0,2,2,0.2912904165452957
57.0,male,1,rent,little,little,1264.0,12.0,business,good,105.32455628697609,51-60,22.17543859649123,0,0,1,1,0.4416961130742049
